subid,SEX,REST1_FD,AGE
00001,0,0.0977,12.84
00002,0,0.0388,14.17
00003,0,0.0889,12.92
00004,0,0.0939,7.54
00005,0,0.07,12.73
00006,1,0.0872,14.17
00007,1,0.1192,14.35
00008,0,0.122,15.19
00009,0,0.4045,10.29
00010,0,0.0712,8.51
00011,0,0.1947,8.17
00012,0,0.0654,9.75
00013,0,0.1209,9.90
00014,0,0.0715,14.54
00015,0,0.1624,8.80
00016,0,0.1309,12.01
00017,1,0.1585,11.41
00018,0,0.134,9.69
00019,0,0.0524,13.31
00020,1,0.0947,15.23
00021,0,0.1,14.21
00022,0,0.0533,11.20
00023,1,0.1139,10.99
00024,0,0.0853,10.45
00025,0,0.0855,14.92
00026,0,0.0762,7.45
00027,0,0.2084,7.06
00028,1,0.0914,9.43
00029,0,0.2084,8.4
00030,1,0.1029,12.45
00031,0,0.0732,10.46
00032,0,0.2103,11.82
00033,1,0.0849,10.02
00034,1,0.1371,9.50
00035,1,0.1485,9.48
00036,0,0.1124,12.07
00037,0,0.0931,11.44
00038,1,0.0639,9.39
00039,1,0.0333,15.62
00040,0,0.0439,13.44
00041,1,0.0633,8.44
00042,0,0.0794,13.47
00043,0,0.0973,12.84
00044,0,0.1275,10.48
00045,0,0.2,7.08
00046,0,0.0504,12.79
00047,1,0.1165,12.56
00048,0,0.1679,10.29
00049,0,0.0845,7.97
00050,0,0.0673,12.60
00051,0,0.1164,7.01
00052,1,0.0667,10.17
00053,1,0.1,15.14
00054,0,0.0817,7.04
00055,1,0.0686,7.91
00056,1,0.07,13.46
00057,0,0.1384,7.87
00058,0,0.0914,9.93
00059,1,0.0638,16.44
00060,1,0.0728,8.86
00061,0,0.061,8.39
00062,1,0.0812,13.35
00063,1,0.1019,7.02
00064,1,0.0672,11.53
00065,0,0.1279,11.77
00066,1,0.078,11.82
00067,0,0.0668,14.53
00068,0,0.0424,13.44
00069,0,0.1227,8.09
00070,1,0.1658,8.53
00071,1,0.0609,12.22
00072,0,0.0543,15.08
00073,0,0.2005,8.01
00074,0,0.1266,11.53
00075,0,0.1293,11.84
00076,0,0.0876,7.46
